Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12
NA,248.3821002848453,NA,NA,268.11873537004084,296.81834779667105,NA,318.47875178409794,NA,NA,NA,NA
NA,NA,257.60976106878167,264.7136426579027,NA,NA,315.6391518649516,NA,NA,NA,NA,NA
NA,NA,256.7655986079665,NA,NA,NA,NA,318.1719243350348,NA,NA,NA,429.09729746079984
NA,NA,NA,264.7136426579027,NA,NA,NA,NA,322.0597347306015,NA,NA,429.09729746079984
244.49238573623492,NA,NA,NA,NA,NA,NA,NA,322.6681663160561,352.2588853552911,396.1272471384256,NA
